,Barrio,Latitud_barrio,Longitud_barrio,IdRest,Lugar,Latitud_lugar,Longitud_lugar,Nota,Likes,Categoría
0,Los guindos,36.68935703296362,-4.446546044880198,4e3d39de1838cb1b82ecf28c,Pizzorante Bellavista Mare,36.68985424997887,-4.442409386229074,6.3,12,Pizza Place
1,Los guindos,36.68935703296362,-4.446546044880198,4d91ba10270e6ea8d0e858ff,Burger Scooby,36.691085119391666,-4.444805542134987,6.0,4,Burger Joint
2,Los guindos,36.68935703296362,-4.446546044880198,4c94b48703413704dc3e74ef,Chiringuito Casa Lucas,36.68804924450316,-4.442969023005505,6.1,5,Seafood Restaurant
3,Los guindos,36.68935703296362,-4.446546044880198,4e45aaf77d8b91a06584bd40,Pata Negra,36.690810585885764,-4.444843825822153,5.8,4,Spanish Restaurant
4,Los guindos,36.68935703296362,-4.446546044880198,4d8f35f51716a143c5c244f7,Vista Suiza II,36.69310158530723,-4.443966982194866,6.2,8,Mediterranean Restaurant
5,Los guindos,36.68935703296362,-4.446546044880198,4c42ecbcff711b8d15341405,Papulinos III,36.69030699322083,-4.449563603702069,5.7,5,Steakhouse
6,Los guindos,36.68935703296362,-4.446546044880198,4d749bfc0a22236ab0cc3702,Cafeteria Duran-Duran,36.69047399089138,-4.445027028266686,5.3,4,Breakfast Spot
7,Los guindos,36.68935703296362,-4.446546044880198,5309f250498e04ed32f8368b,La Campana Playa,36.689772999953725,-4.442082890694284,5.7,13,Seafood Restaurant
8,Los guindos,36.68935703296362,-4.446546044880198,4d67b4f12433a14344364fe0,Wok La Paz,36.691941450001615,-4.451067603367712,5.6,16,Asian Restaurant
9,R.e.n.f.e.,36.71130553503684,-4.434081825423512,50fffe6ee0e2c5d3847f28f6,Asador Iñaki,36.70912103810216,-4.4338585571433535,8.5,72,Spanish Restaurant
10,R.e.n.f.e.,36.71130553503684,-4.434081825423512,52944e31498e7e1cc6e20543,Granier Panes Artesanos,36.712787908430585,-4.432986665188229,7.3,9,Bakery
11,R.e.n.f.e.,36.71130553503684,-4.434081825423512,4b87d100f964a5206bcd31e3,Mesón Astorga,36.71442380259032,-4.437101545293068,8.3,19,Restaurant
12,R.e.n.f.e.,36.71130553503684,-4.434081825423512,4d97935ae07ea35d207bdd02,Restaurante Japonés Kyoto,36.71114867208626,-4.428592307234352,8.5,68,Japanese Restaurant
13,R.e.n.f.e.,36.71130553503684,-4.434081825423512,4bb503a20fb7b713f7d2bf8a,La Tagliatella,36.71529810299304,-4.431495020119185,8.2,80,Italian Restaurant
14,R.e.n.f.e.,36.71130553503684,-4.434081825423512,4e876da85c5cfd1dcc657cea,Domino's Pizza,36.713960937494754,-4.433263066506208,7.2,11,Pizza Place
