,Neighb,Latitude,Longitude,IdVenue,Venue,Lat_venue,Long_venue,Tip_count,Rating,Likes,Photos_count,Category
0,Cañada de ceuta,36.651809837190505,-4.514195764753591,4b5b115af964a520e9e128e3,Pizzorante Bellavista,36.65201274260927,-4.512790619346746,33,6.5,32,44,Pizza Place
1,San juan-el albaricocal,36.66252897249015,-4.513345371863145,4cc2d74001fb236a3d6ba1ba,La Cónsula,36.66334470643462,-4.508297095961079,5,7.2,10,19,Mediterranean Restaurant
2,La rosaleda,36.735345875065256,-4.427376985289309,4c2e231a3a4d0f47f308e586,McDonald's,36.73394382097734,-4.431336143387885,8,5.4,13,10,Fast Food Restaurant
3,503 viviendas,36.73906615028461,-4.428161372179116,4c684e715fae20a1e83749a6,Pizzeria Picasso,36.73864332615829,-4.42281781167618,5,6.2,4,0,Burger Joint
4,Olletas,36.73313200223754,-4.415375311712063,4cc19d1ded0337049d81af23,Restaurante Nerva Café,36.729846453431946,-4.414884987256779,15,7.3,15,14,Spanish Restaurant
5,Olletas,36.73313200223754,-4.415375311712063,4c7c097f81bca0935bf50415,Valdi,36.7320684376893,-4.415390590203627,6,6.3,5,2,Sandwich Place
6,Olletas,36.73313200223754,-4.415375311712063,4c8f57efad70a1438ca3900f,Domino's Pizza,36.73339576095718,-4.4157501124285155,11,6.0,10,17,Pizza Place
7,Olletas,36.73313200223754,-4.415375311712063,4c0e9e025ab6c9b6d90ff0fe,Telepizza,36.73472709999999,-4.415827989578247,2,5.9,0,3,Pizza Place
8,Olletas,36.73313200223754,-4.415375311712063,4babe7aaf964a520eed33ae3,Burguer Don Papón,36.73505277246706,-4.4158326884549615,14,4.7,0,6,Burger Joint
9,Jardin de la abadia,36.70599007982975,-4.433653807808648,4e8625e1cc210aef909cdc6e,Chupytira,36.70360171195692,-4.434256213957099,20,8.8,40,26,Seafood Restaurant
10,Jardin de la abadia,36.70599007982975,-4.433653807808648,50fffe6ee0e2c5d3847f28f6,Asador Iñaki,36.70912103810216,-4.4338585571433535,41,8.5,72,53,Spanish Restaurant
11,Jardin de la abadia,36.70599007982975,-4.433653807808648,4cceb96ec0378cfaeb519548,Gianni Ristorante Pizzeria,36.70418278212722,-4.434078680750868,5,7.4,7,7,Italian Restaurant
12,Jardin de la abadia,36.70599007982975,-4.433653807808648,4d29c875c406721e8c207eb6,Bar Tano,36.70603542025274,-4.436848985857187,18,7.1,15,15,BBQ Joint
13,Jardin de la abadia,36.70599007982975,-4.433653807808648,4bddd6d2e75c0f477dd0c503,Cantina Mexicana Tacos,36.70432560150088,-4.434571154067436,6,6.8,7,7,Mexican Restaurant
